Index,Motivation,Communication,Visual,Verbal,Sensing,Intuitive,Sequential,Global
38,2.3,2.3,1.5,3,2.0,3.3,1.3,2.3
39,2.8,2.3,2.5,2,2.3,2.3,2.0,2.3
40,3.3,3.3,3.5,4,2.7,2.7,2.3,3.0
41,2.5,2.7,3.5,3,2.3,3.7,2.0,2.3
42,3.3,2.0,3,2.5,2.7,3.0,3.0,2.7
43,2.5,2.3,3,3,2.0,2.3,1.3,2.3
44,2.8,3.3,3.5,2.5,3.7,3.0,2.0,1.7
45,3.3,2.0,3,2,2.7,3.0,2.0,2.3
46,2.3,2.3,2,2,2.0,2.3,2.0,2.0
47,3.8,2.7,4,3,2.7,3.7,2.3,3.0
48,1.5,1.7,2,1.5,2.3,1.7,2.0,1.7
49,1.8,1.3,2.5,1.5,2.0,2.3,2.7,3.3
50,3.5,3.0,3,2.5,3.0,2.7,2.0,2.7
51,3.5,3.3,3.5,2.5,3.0,3.3,3.0,2.0
52,2.5,3.0,2.5,3,3.0,3.0,2.7,2.3
53,3.0,2.0,4,3.5,2.7,3.0,2.3,2.0
54,2.8,2.7,3.5,3,3.3,3.3,2.7,2.0
55,3.5,3.7,3.5,3,3.3,4.0,2.3,3.3
56,2.5,3.0,3.5,2,2.3,2.3,1.0,2.3
57,3.3,3.0,4,3,2.7,3.3,2.7,2.7
58,3.3,3.0,4,3.5,3.0,3.7,3.7,3.0
59,2.5,3.0,3,3,2.7,2.7,2.3,2.3
60,1.8,2.0,2,2,3.0,3.0,2.3,3.0
61,2.3,2.7,3,2,2.3,2.0,2.0,2.3
62,1.5,1.3,2,2.5,1.7,2.7,1.7,2.7
63,2.3,3.0,3.5,3,3.0,3.0,2.7,2.7
64,2.5,2.3,2.5,3,2.3,2.7,1.0,2.7
65,2.3,3.0,3,3,2.3,2.3,2.0,1.7
66,3.0,2.3,3,2.5,3.0,3.0,3.0,2.7
67,2.3,2.0,2,2,1.7,2.0,2.0,1.7
68,1.8,2.0,2.5,2,2.3,2.0,2.3,2.3
69,2.8,4.0,3,2.5,1.7,3.0,1.0,3.0
70,3.0,2.7,3,2.5,1.3,3.7,1.7,3.0
71,2.5,2.3,2.5,3,3.0,2.3,2.3,2.7
72,2.3,2.7,3,2.5,2.7,2.7,1.7,2.7
73,2.3,1.3,3,3.5,2.7,2.0,2.7,1.7
74,1.5,2.0,2,1.5,2.0,2.0,1.3,1.7
75,2.8,2.0,3,2.5,3.0,3.0,2.7,3.0
76,2.5,2.0,2.5,2,3.0,3.0,1.3,2.7
77,2.5,3.3,3,3,2.3,2.7,1.7,1.3
78,3.0,2.7,3,1.5,2.3,2.3,1.0,3.0
79,3.3,4.0,3,3,2.7,2.7,3.0,2.3
80,2.8,2.7,3,3,2.7,3.0,2.0,2.3
81,3.3,3.3,3,2.5,2.7,3.0,2.3,2.0
82,2.8,2.3,4,3.5,2.7,3.3,1.7,3.7
83,2.8,3.0,4,3,3.3,3.7,2.0,3.7
84,3.0,3.0,3,2.5,2.3,2.7,3.0,2.0
85,2.3,1.7,2.5,1.5,2.7,2.3,1.0,2.0
86,2.5,2.0,3,3,2.7,2.7,2.3,3.0
87,2.5,3.0,2.5,2.5,3.0,2.7,2.3,2.7
88,3.8,3.3,3,3,3.3,2.7,2.7,3.0
89,1.8,2.0,1.5,1.5,1.7,2.3,1.7,2.0
90,4.0,3.3,3.5,3,4.0,3.3,1.7,3.0
91,2.0,1.7,3.5,1.5,1.7,2.3,2.0,1.3
92,2.0,2.0,3.5,3,2.7,2.7,1.7,1.7
93,2.5,2.0,2,1.5,2.3,2.3,2.0,1.3
94,3.0,2.3,2,3.5,1.7,2.7,2.0,2.3
95,3.0,2.3,3.5,3.5,3.0,3.0,2.3,3.0
96,2.5,2.3,2.5,2.5,2.0,2.3,2.0,2.3
97,2.3,1.7,2.5,2.5,2.3,2.3,2.3,2.7
98,3.0,2.7,3,2.5,3.0,2.3,2.3,3.0
99,2.3,1.7,2.5,2,1.7,2.7,2.7,2.3
100,2.8,2.7,2,2.5,2.7,3.3,2.0,2.3
101,2.8,2.0,3,2.5,2.3,2.7,2.7,2.7
102,1.8,2.0,1.5,1.5,2.0,2.0,1.7,2.3
103,2.5,2.3,2.5,3.5,2.0,2.0,2.7,2.3
104,2.3,2.3,4,2.5,2.3,2.7,1.7,3.0
105,3.0,2.7,3,3.5,2.0,3.0,2.3,2.0
106,2.8,2.0,3.5,2.5,3.0,2.3,2.0,2.3
107,2.5,3.7,3,3,2.3,3.0,3.0,2.3
108,3.3,3.0,3.5,2.5,3.0,3.0,2.0,3.0
109,3.0,2.3,3.5,2,3.0,2.3,2.3,2.3
110,2.0,2.3,3.5,2,2.3,2.0,2.3,2.7
111,2.8,2.7,2.5,2.5,2.7,3.0,2.0,2.3
112,2.3,2.3,3.5,3,2.7,3.3,3.7,3.7
113,2.3,2.3,3,2.5,2.7,2.3,2.3,1.7
114,3.0,2.7,3,3,3.0,2.7,2.7,2.7
115,2.8,3.0,2.5,3,2.7,2.7,2.7,2.3
116,2.3,2.3,2.5,2,2.0,2.3,2.0,2.3
117,2.5,2.3,3,2,2.3,2.7,2.3,1.7
118,2.3,2.0,2,2,2.3,2.3,2.0,3.0
119,2.0,2.0,2.5,2,2.3,2.3,2.0,2.0
120,2.8,2.0,3,3,2.7,3.0,2.3,3.0
121,3.3,3.0,3.5,3.5,3.0,3.3,2.0,3.3
122,3.5,2.3,4,2.5,2.3,4.0,3.0,3.0
123,3.5,2.3,4,3,3.0,3.7,1.7,3.0
124,3.0,2.7,2,2.5,2.3,2.3,2.3,2.0
125,3.0,2.0,2.5,2.5,2.7,2.7,1.7,2.7
126,3.5,3.3,4,4,3.0,3.7,1.7,2.7
127,4.0,4.0,4,3,2.0,3.3,3.0,2.3
128,2.3,2.0,3.5,1.5,2.3,2.7,2.3,2.3
129,2.8,2.7,2.5,2.5,2.3,2.3,1.7,2.3
130,3.0,2.0,3,2.5,2.3,2.3,2.3,3.0
131,2.5,2.3,2,2.5,3.0,2.7,2.3,2.3
132,2.3,3.0,2,2.5,2.3,3.0,1.7,3.0
133,2.8,2.3,3,3,2.7,2.3,2.3,2.3
134,3.0,2.7,2.5,2,3.3,2.0,1.7,2.3
135,2.5,1.7,2,2.5,2.3,2.0,1.7,3.0
136,2.3,2.3,3.5,3.5,3.0,3.0,2.3,2.7
137,2.3,2.3,2.5,2.5,2.7,2.3,2.3,2.3
138,4.0,3.0,3.5,3,2.3,3.7,1.7,3.3
139,2.5,3.0,2.5,1.5,2.3,2.3,1.0,2.7
140,3.0,3.7,3,1.5,2.0,4.0,3.0,3.0
141,3.3,2.7,2.5,3,2.0,2.7,2.0,2.7
142,2.3,2.7,2,2.5,2.3,2.7,1.0,2.7
143,2.5,2.7,2.5,1.5,2.3,2.0,1.3,1.3
144,2.5,3.0,2,2,2.0,2.0,1.7,1.7
145,2.5,2.0,2.5,2,2.0,2.7,2.3,2.7
146,2.5,2.7,3,3.5,2.0,2.3,2.0,2.3
147,4.0,4.0,4,4,4.0,4.0,3.3,3.0
148,3.0,3.3,3,2.5,2.3,3.0,2.3,2.7
149,2.8,2.3,2,2.5,2.7,2.3,1.7,2.7
150,3.0,3.3,3.5,3,2.7,2.7,2.3,3.0
151,3.3,2.3,4,4,2.3,4.0,2.7,3.7
152,3.0,3.0,3,3.5,2.7,3.3,2.7,3.0
153,2.8,1.7,2.5,3.5,2.3,2.7,1.7,3.0
154,3.0,3.0,3,3,3.0,3.0,2.3,2.7
155,2.5,1.7,3,3,2.7,2.3,3.3,2.3
156,3.5,2.3,3,3,2.0,3.0,2.0,2.3
157,1.8,2.0,4,3.5,3.0,3.7,3.0,3.0
158,2.5,2.3,2.5,2,2.7,2.7,2.7,2.3
159,3.0,3.3,2,2.5,2.3,3.0,2.0,2.3
160,4.0,4.0,4,4,2.3,4.0,3.0,3.3
161,2.0,1.0,2.5,2.5,2.3,2.0,2.3,2.0
162,2.8,3.0,2,2.5,2.3,1.7,2.3,1.7
163,2.8,3.3,3,2.5,2.7,3.7,2.0,2.3
164,1.5,2.0,2.5,2,2.7,1.7,2.0,1.3
165,2.5,2.0,2,2.5,2.7,2.7,3.0,2.7
166,2.5,2.7,3,2,2.3,2.7,1.3,2.0
167,2.5,2.3,3,2,2.7,2.3,2.0,2.0
168,2.5,3.3,3.5,3.5,1.7,3.0,2.7,2.0
169,2.8,2.7,2.5,3,2.3,2.7,2.0,2.0
170,3.0,2.3,3,2.5,2.7,2.3,2.3,2.0
171,2.0,2.0,3.5,2.5,2.3,1.7,1.0,1.7
172,2.0,2.3,3,2,2.7,2.7,3.0,3.0
173,2.5,1.7,3,2.5,2.3,2.3,2.0,2.0
174,3.0,3.0,3,2.5,1.7,3.0,2.3,2.3
175,1.8,1.7,2.5,3,3.0,2.0,2.0,2.7
176,2.8,3.0,3,2.5,3.0,2.7,2.3,2.7
177,2.5,2.3,2.5,3,3.0,2.7,2.3,2.0
178,3.0,3.0,3,3,2.3,3.3,2.3,2.3
179,1.8,2.0,3,2.5,2.0,2.7,3.0,2.3
180,3.0,2.3,3.5,1.5,1.3,2.7,2.3,2.7
181,2.3,1.7,3.5,2,3.3,2.0,2.7,2.7
182,2.8,2.3,2,3.5,2.7,3.0,1.7,2.7
183,2.3,1.7,3,2.5,2.3,2.3,2.0,2.0
184,1.5,2.0,2.5,2.5,2.7,2.3,2.0,2.7
185,2.8,2.3,3.5,3,3.0,3.0,2.7,3.0
186,2.5,2.7,2,2.5,2.3,2.0,1.7,2.0
187,4.0,3.3,4,4,3.0,3.7,2.7,3.3
188,2.8,2.0,3,1.5,2.3,2.7,2.3,1.7
189,2.0,2.3,3,2,2.0,2.7,1.7,2.3
190,3.0,2.7,3,2.5,3.0,2.7,2.0,2.0
191,2.8,2.0,3,2,2.3,2.7,3.0,2.0
192,1.8,1.7,3,3,2.7,2.0,2.7,2.3
193,2.5,2.0,3.5,2.5,3.0,2.3,1.7,2.0
194,3.3,2.3,3,3,2.7,3.0,2.3,2.0
195,3.8,3.3,4,4,3.3,3.3,2.7,2.7
196,2.8,2.3,2,2.5,2.0,2.3,1.3,2.3
197,3.8,3.3,4,3.5,3.0,3.3,2.0,3.0
198,2.0,1.7,2,3,2.0,2.3,1.3,1.7
199,2.0,2.0,3,1.5,2.0,2.0,1.3,2.3
200,2.0,2.0,2,2,2.0,2.0,1.7,1.7
201,2.5,2.0,2.5,2.5,1.7,2.7,2.3,2.0
202,2.5,2.0,2,2,1.7,2.0,1.7,1.7
203,2.0,2.0,3,1.5,2.3,3.0,1.7,2.7
204,2.3,2.7,3.5,3,3.7,2.7,2.7,3.3
205,3.0,2.0,3,3,1.3,2.7,1.7,2.7
206,2.5,2.3,2.5,2,3.0,1.3,2.3,2.3
207,3.5,2.7,2.5,1.5,2.7,3.0,2.3,2.3
208,1.5,1.3,2.5,1.5,1.7,2.0,1.3,1.0
209,2.0,1.3,3,3,2.3,2.7,3.0,2.0
210,2.3,2.7,4,3,3.0,2.3,1.7,2.7
211,2.3,1.7,2.5,1.5,1.3,2.3,1.3,2.0
212,3.8,2.3,2.5,2.5,2.0,3.0,1.7,2.7
213,1.8,2.3,2.5,2,2.3,2.3,2.0,2.3
214,2.8,2.7,3.5,2,2.7,3.0,2.0,3.3
215,1.5,1.3,3,1.5,2.0,1.3,1.7,1.7
216,2.5,1.0,3,2,2.0,3.0,2.3,2.3
217,2.0,1.3,2,2,1.7,2.0,2.0,1.0
218,2.8,2.0,3,2,2.0,2.0,1.3,2.7
219,3.5,3.0,3.5,3,2.3,4.0,2.7,2.7
220,2.8,2.3,2.5,2,2.7,2.7,2.0,2.7
221,1.5,1.7,2,2,2.0,3.0,1.0,2.3
222,3.0,2.7,3.5,2.5,1.7,2.7,2.0,2.3
223,2.5,2.3,2.5,3,2.7,1.7,2.3,1.7
224,2.5,2.7,3,2,2.3,2.7,2.0,2.0
225,3.0,2.3,3,2,2.0,2.7,1.7,2.7
226,2.8,1.7,2.5,2,2.0,2.7,1.7,2.7
227,2.5,3.0,3.5,2.5,2.7,2.7,2.3,3.0
228,2.8,3.0,3,1.5,3.3,3.0,1.0,2.3
229,2.3,2.7,2.5,2,3.0,2.3,1.7,2.7
230,2.8,3.3,4,4,4.0,2.3,3.0,2.7
231,3.3,2.3,3,3,2.7,3.0,3.3,3.0
232,2.8,3.0,3,3,2.7,2.7,2.0,2.7
233,3.0,2.3,2,2.5,1.7,3.0,1.7,2.7
234,3.0,2.7,2.5,2,2.0,3.0,1.7,2.3
235,2.8,4.0,3.5,4,4.0,2.7,2.3,1.7
236,2.5,2.0,3.5,2.5,2.3,3.0,1.7,2.0
237,2.3,2.0,2.5,2.5,2.0,2.3,1.7,1.7
238,2.3,2.0,3,2.5,2.7,2.3,1.3,2.7
239,2.5,2.3,3,2.5,3.3,3.0,2.0,2.7
240,3.0,2.3,3,3,2.7,2.7,2.3,3.0
241,2.8,1.7,2,2.5,2.3,2.7,2.3,1.7
242,2.5,2.3,2.5,2.5,1.7,2.3,2.3,2.3
243,3.0,2.3,2.5,2.5,2.3,2.7,2.3,2.3
244,2.8,2.7,2.5,2.5,2.7,3.0,2.3,2.0
245,2.5,3.3,3.5,2,3.0,3.0,2.0,2.3
246,2.0,2.7,3.5,2.5,2.7,2.0,1.7,2.7
247,2.3,1.3,3,1.5,2.3,2.3,1.0,2.7
248,3.0,2.7,3,2.5,2.7,2.7,1.7,2.0
249,2.5,3.0,2.5,1.5,2.0,3.3,2.3,2.3
250,3.3,3.0,4,4,2.7,3.3,2.3,2.7
251,2.5,2.3,3.5,3,3.0,3.7,2.3,3.3
252,2.3,1.7,3,2,2.0,2.0,1.7,2.3
253,2.3,2.3,3,2,2.0,2.3,1.7,2.0
254,2.8,2.3,3.5,3,3.0,3.3,3.0,3.0
255,3.5,2.7,3,3,2.7,3.0,2.7,3.0
256,1.8,1.3,3,3.5,3.0,2.7,3.0,2.0
257,2.0,1.0,1.5,1,1.7,2.3,1.7,1.7
258,2.0,1.7,2.5,2.5,2.3,3.0,1.3,1.7
259,2.3,1.7,3,2.5,2.7,2.0,2.3,2.3
260,2.3,2.7,2,2,1.7,2.0,2.0,1.7
261,3.0,2.7,2,2.5,2.0,2.3,2.0,2.3
262,3.0,2.7,2.5,3.5,3.0,3.0,2.7,3.3
263,3.5,4.0,3,3,4.0,3.7,2.0,2.0
264,3.3,4.0,2.5,3.5,4.0,4.0,2.0,3.0
265,1.8,1.7,3,2.5,3.0,2.0,2.3,2.0
266,2.8,2.7,3.5,3,2.3,3.3,1.7,3.0
267,2.5,2.0,3,3,2.0,3.0,1.0,2.0
268,2.0,2.3,3,1.5,2.0,2.3,2.3,2.0
269,2.5,2.3,2,2,2.7,2.3,2.0,1.3
270,1.8,1.7,2.5,3,2.0,2.3,1.7,1.7
271,3.0,2.3,3,2.5,2.7,2.7,2.7,2.7
272,2.5,1.7,3.5,1,2.7,2.7,2.0,2.3
273,3.8,2.7,4,3.5,3.7,3.7,4.0,3.7
274,1.5,2.7,3,2,2.7,2.3,2.0,2.3
275,2.8,1.7,3,1.5,1.7,3.0,3.0,2.0
276,3.3,4.0,4,2,3.3,3.7,4.0,2.7
277,3.0,2.3,4,3.5,2.7,2.7,2.7,1.7
278,2.3,2.3,1.5,1.5,1.7,1.7,1.7,1.7
279,3.0,3.0,3,3,3.0,3.0,2.3,2.3
280,2.3,2.0,3,2,2.7,3.0,2.0,2.3
281,2.8,2.3,3.5,2.5,2.3,2.7,2.0,2.0
282,3.5,3.3,4,3.5,3.3,3.7,3.7,3.0
283,2.8,1.3,3.5,3.5,2.7,2.3,1.7,2.3
284,2.5,2.3,2.5,2.5,2.3,2.3,2.3,2.7
285,2.3,2.7,3,1.5,2.3,2.3,1.3,3.0
286,3.0,3.3,4,1,2.3,3.3,1.0,2.7
287,2.5,1.3,2,2.5,1.7,3.0,1.7,2.7
288,3.0,2.0,3,2.5,2.3,3.0,3.0,2.0
289,2.0,1.0,2,1.5,2.0,2.3,2.0,2.0
290,3.0,1.7,3,2.5,3.0,2.3,2.0,1.7
291,2.8,2.7,2.5,2.5,2.7,2.3,1.7,2.0
292,3.0,3.3,3.5,3,3.0,3.0,2.3,2.3
293,3.0,2.0,3,2,2.0,2.7,1.7,2.3
294,3.3,1.7,2.5,2.5,2.0,3.3,2.0,2.3
295,2.5,2.3,2.5,2,2.3,2.3,2.0,2.3
296,2.5,2.0,3,2.5,1.3,2.0,2.3,3.0
297,3.3,2.7,1,2.5,2.7,3.0,2.3,3.0
298,2.3,2.0,3,2.5,2.3,2.7,2.0,2.3
299,2.3,2.0,2.5,1.5,2.3,2.7,2.3,2.3
300,2.8,2.0,2.5,2.5,1.7,2.3,1.3,2.7
301,2.8,2.7,3.5,3,3.7,3.7,3.0,3.0
302,3.0,3.0,2.5,2.5,2.3,3.0,2.3,2.3
303,3.5,3.3,3,3,3.0,3.0,2.3,2.7
304,2.3,1.3,3,2.5,2.3,2.0,1.3,1.7
305,2.3,1.0,2.5,2.5,2.7,2.3,2.3,2.0
306,2.0,2.7,2.5,2,2.3,2.7,2.7,2.0
307,2.0,2.0,2,2,2.0,2.0,2.0,1.7
308,1.8,2.7,3,2,2.3,1.7,1.3,2.0
309,3.0,2.0,2.5,2,2.0,3.3,1.0,3.0
310,1.8,1.7,2.5,2.5,2.7,2.7,2.7,2.7
311,3.3,3.3,3,3.5,2.7,3.0,2.0,3.0
312,3.0,3.3,4,2,3.0,3.7,1.7,2.3
313,2.8,2.7,3.5,2.5,2.3,2.7,1.3,2.0
314,2.5,2.0,3,2.5,2.3,2.3,2.7,2.3
315,2.3,2.3,2.5,2,2.3,2.3,2.0,2.0
316,2.8,2.7,3.5,3.5,2.0,2.7,1.3,2.3
317,1.5,2.3,2,2.5,2.3,2.0,1.7,2.0
318,3.0,2.3,3.5,3,3.0,2.3,2.7,3.0
319,1.8,2.3,3,2.5,2.3,2.3,1.7,2.0
320,2.0,3.0,3,2.5,3.0,2.7,2.7,2.0
321,2.5,2.3,2,2,2.0,2.3,2.0,2.3
322,2.8,3.7,4,3.5,3.0,3.0,2.0,2.7
323,2.3,1.7,2.5,2.5,2.3,2.3,1.7,2.3
324,3.0,3.3,3,2.5,2.7,2.3,3.0,2.3
325,3.3,2.7,2.5,2.5,2.3,3.0,2.0,2.3
326,2.0,3.0,3,3,2.3,2.0,1.7,3.0
327,2.8,2.0,3,2.5,2.3,3.0,2.0,2.3
328,3.3,3.3,2,1.5,2.0,2.7,1.3,2.7
329,2.5,2.7,3,2,2.7,2.3,1.3,2.3
330,2.8,2.7,2.5,2.5,2.7,3.0,1.0,2.3
331,1.5,2.0,1.5,2,2.0,2.0,2.0,2.0
332,2.0,1.7,2,2,2.3,1.7,1.7,1.7
333,2.5,3.3,2.5,2,2.0,3.3,1.3,3.3
334,2.5,3.0,2.5,2.5,2.3,2.7,2.0,2.3
335,3.0,2.7,2,2.5,2.3,2.0,2.3,1.7
336,3.0,2.3,2.5,2.5,3.0,2.7,2.3,2.7
337,2.5,2.7,3.5,2.5,2.3,2.7,1.7,2.7
338,2.3,2.0,2.5,3,2.3,2.7,1.7,1.7
